City,Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
Others,90.0,,,,3.0,,,,5.5
Ho Chi Minh City,58.0,,,,,,Sale contract,Basic,4.61
Hanoi,35.0,5.0,2.0,5.0,5.0,4.0,Have certificate,Full,6.85
Ho Chi Minh City,50.4,,5.0,3.0,4.0,4.0,Have certificate,Basic,3.75
Ho Chi Minh City,54.0,,5.0,3.0,4.0,4.0,Have certificate,Full,4.3
Ho Chi Minh City,57.4,,,3.0,3.0,2.0,Have certificate,Basic,4.05
Hanoi,56.0,3.82,2.5,5.0,6.0,5.0,Have certificate,Full,6.5
Others,151.0,4.0,6.0,2.0,4.0,3.0,Have certificate,Full,3.2
Ho Chi Minh City,51.75,4.5,6.0,4.0,4.0,5.0,Have certificate,,9.2
Hanoi,27.0,4.0,10.0,5.0,4.0,5.0,Have certificate,Full,7.65
Ho Chi Minh City,115.0,,,,,,,Full,9.55
Hanoi,81.0,,18.5,5.0,,,,,9.9
Others,102.8,7.0,18.0,2.0,4.0,4.0,,,5.6
Others,48.0,,,,,,Have certificate,,5.8
Ho Chi Minh City,55.0,4.5,5.0,,,,,,6.8
Ho Chi Minh City,56.25,4.5,5.0,3.0,4.0,3.0,Have certificate,Basic,4.29
Ho Chi Minh City,65.0,,,2.0,3.0,3.0,,,4.0
Ho Chi Minh City,80.0,8.0,8.0,5.0,5.0,6.0,,,6.5
Others,60.0,4.0,,,,,Sale contract,,7.0
Hanoi,33.0,3.0,2.0,5.0,3.0,4.0,Have certificate,Full,4.48
Ho Chi Minh City,38.0,4.2,6.0,4.0,3.0,4.0,Have certificate,Full,6.78
Others,150.0,5.0,38.0,,,,Sale contract,,4.9
Ho Chi Minh City,42.0,,,3.0,2.0,,Have certificate,,6.5
Others,60.0,,,,,,,,7.0
Hanoi,30.0,3.4,3.0,6.0,4.0,5.0,,Full,5.65
Others,78.0,6.0,13.0,5.0,,,,,9.8
Ho Chi Minh City,43.5,,2.0,4.0,3.0,4.0,Have certificate,Basic,6.2
Ho Chi Minh City,23.9,3.5,,2.0,2.0,2.0,,,4.2
Ho Chi Minh City,78.7,4.0,,,,,Have certificate,,5.5
Others,67.5,,,,,,,,2.18
Ho Chi Minh City,72.0,4.0,5.0,2.0,4.0,4.0,Have certificate,Full,6.7
Hanoi,60.0,,3.0,4.0,4.0,3.0,Have certificate,Basic,2.65
Ho Chi Minh City,200.0,,,2.0,3.0,3.0,,,10.0
Hanoi,36.0,4.0,3.0,5.0,4.0,4.0,Have certificate,Basic,6.0
Ho Chi Minh City,100.0,,20.0,3.0,4.0,4.0,Have certificate,Full,8.49
Others,120.0,6.0,30.0,4.0,,,Have certificate,,5.85
Hanoi,78.0,,,3.0,3.0,3.0,Have certificate,Full,5.8
Ho Chi Minh City,132.0,4.0,8.0,2.0,3.0,2.0,,,7.0
Ho Chi Minh City,102.0,,3.0,1.0,2.0,1.0,Have certificate,,6.8
Ho Chi Minh City,101.0,7.1,2.5,3.0,4.0,3.0,Have certificate,,6.6
Ho Chi Minh City,81.0,8.0,8.0,1.0,1.0,1.0,,,5.8
Hanoi,35.0,,,5.0,4.0,3.0,Have certificate,,3.5
Ho Chi Minh City,75.0,5.0,24.0,3.0,3.0,3.0,Have certificate,Full,7.7
Ho Chi Minh City,62.0,,,4.0,6.0,4.0,Have certificate,,6.9
Others,100.0,15.0,20.0,3.0,,,Have certificate,,3.9
Hanoi,42.0,3.3,5.0,4.0,5.0,4.0,Have certificate,Full,8.8
Ho Chi Minh City,143.0,5.0,6.0,4.0,4.0,4.0,Have certificate,Full,9.3
Others,180.0,9.0,40.0,3.0,5.0,4.0,Have certificate,Basic,9.7
Others,75.0,5.0,17.0,5.0,,,Have certificate,Basic,8.6
Others,78.0,6.0,,5.0,,,Have certificate,Basic,9.4
Hanoi,33.0,4.5,2.5,5.0,3.0,4.0,Have certificate,Full,4.15
Hanoi,31.0,,,5.0,,,Have certificate,,2.9
Ho Chi Minh City,83.6,,,4.0,4.0,5.0,Have certificate,,8.6
Hanoi,56.0,4.8,3.0,6.0,4.0,4.0,Have certificate,,5.3
Others,90.0,5.0,17.5,4.0,4.0,5.0,Have certificate,,3.85
Hanoi,55.0,4.0,5.0,5.0,6.0,5.0,Have certificate,Full,8.3
Ho Chi Minh City,50.0,9.0,,2.0,2.0,2.0,Have certificate,,3.9
Ho Chi Minh City,65.0,,8.0,4.0,4.0,5.0,,,4.2
Hanoi,60.0,,,,,,Have certificate,,4.3
Others,100.0,5.0,15.0,3.0,3.0,4.0,Sale contract,,3.95
Hanoi,33.0,,,,1.0,1.0,Sale contract,,1.4
Hanoi,60.0,,2.0,3.0,3.0,3.0,Have certificate,,4.7
Hanoi,70.0,,,5.0,5.0,4.0,,,6.9
Ho Chi Minh City,40.0,,5.0,4.0,5.0,4.0,Have certificate,Full,9.1
Hanoi,40.0,,,5.0,6.0,3.0,,,6.25
Ho Chi Minh City,66.0,4.0,12.0,4.0,5.0,3.0,Have certificate,,8.95
Hanoi,35.0,,,4.0,4.0,3.0,Have certificate,Full,6.25
Ho Chi Minh City,74.0,,,2.0,4.0,3.0,Have certificate,Full,6.83
Ho Chi Minh City,45.0,,,2.0,2.0,2.0,Have certificate,,4.4
Hanoi,70.0,,,,,,Have certificate,Basic,6.8
Ho Chi Minh City,45.0,,24.0,,,,Sale contract,Basic,7.0
Others,85.0,,18.0,2.0,4.0,4.0,Have certificate,,5.9
Hanoi,48.0,,2.5,4.0,5.0,,Have certificate,Basic,6.4
Ho Chi Minh City,56.1,4.2,,4.0,4.0,3.0,Have certificate,,6.3
Hanoi,40.0,,,5.0,,,,,7.48
Hanoi,36.5,3.6,4.0,6.0,3.0,4.0,Have certificate,Basic,4.1
Hanoi,36.0,,,4.0,,,Have certificate,,7.49
Ho Chi Minh City,64.0,4.0,6.0,5.0,4.0,5.0,Have certificate,Basic,6.7
Hanoi,12.0,3.0,3.0,5.0,3.0,4.0,,,1.8
Others,90.0,,,,3.0,2.0,Have certificate,,3.2
Hanoi,53.0,4.3,22.0,5.0,6.0,5.0,Have certificate,Basic,6.39
Ho Chi Minh City,96.0,5.5,,2.0,5.0,5.0,Have certificate,Full,8.5
Ho Chi Minh City,31.0,6.2,6.0,3.0,4.0,3.0,Have certificate,Full,6.8
Hanoi,56.0,3.85,2.8,4.0,4.0,5.0,Have certificate,Full,8.5
Hanoi,116.8,,,,3.0,2.0,Have certificate,,7.3
Others,56.0,5.0,13.0,5.0,,,,,7.6
Ho Chi Minh City,64.0,4.0,6.0,5.0,6.0,6.0,Have certificate,Full,5.98
Others,65.0,5.5,7.0,3.0,3.0,3.0,Have certificate,Full,4.7
Ho Chi Minh City,50.0,,,4.0,4.0,4.0,,,7.0
Others,100.0,5.0,,,,,,,2.15
Hanoi,70.0,6.6,,,,,,,9.6
Hanoi,55.0,5.0,3.0,5.0,4.0,5.0,Have certificate,Full,6.8
Hanoi,37.0,4.0,,6.0,3.0,3.0,Have certificate,Full,5.6
Hanoi,45.0,3.5,2.0,4.0,4.0,3.0,Have certificate,Basic,4.95
Hanoi,30.0,6.0,2.0,6.0,3.0,4.0,Have certificate,Basic,4.6
Others,67.5,,,4.0,4.0,4.0,Have certificate,,4.5
Others,180.0,9.0,15.0,3.0,,,Have certificate,,10.0
Hanoi,45.0,,,5.0,3.0,4.0,Have certificate,Full,5.7
Others,180.0,9.0,,3.0,5.0,6.0,Have certificate,,9.7
Hanoi,46.5,5.0,,3.0,3.0,,,,2.8
Ho Chi Minh City,68.0,4.0,5.0,1.0,3.0,3.0,Have certificate,,2.8
Others,120.0,,,,,,Have certificate,,7.0
Ho Chi Minh City,40.0,,,2.0,2.0,2.0,Have certificate,,1.38
Others,120.0,,,5.0,,,Have certificate,,8.0
Others,98.0,7.0,27.0,,,,Sale contract,Basic,6.9
Others,80.0,,12.0,3.0,4.0,4.0,Have certificate,Full,1.5
Hanoi,32.0,,,5.0,3.0,4.0,Have certificate,Full,5.7
Ho Chi Minh City,75.0,8.0,3.0,1.0,3.0,1.0,Have certificate,Full,2.35
Ho Chi Minh City,90.0,6.0,30.0,3.0,3.0,4.0,Have certificate,,5.8
Ho Chi Minh City,86.0,4.0,3.0,2.0,8.0,2.0,,,7.6
Others,70.0,,,,4.0,4.0,Have certificate,,2.7
Others,120.0,5.0,,5.0,,,Have certificate,,10.0
Others,41.8,,,3.0,3.0,,,,2.85
Others,48.6,,,,2.0,2.0,,,2.95
Others,56.0,,7.0,3.0,3.0,3.0,,,4.65
Others,32.0,,15.0,3.0,3.0,4.0,,,3.6
Others,272.0,,,,4.0,5.0,,,4.5
Hanoi,42.0,5.6,3.0,5.0,3.0,4.0,Have certificate,Basic,8.5
Others,114.0,6.0,36.0,5.0,,,Have certificate,,8.5
Ho Chi Minh City,53.0,,5.0,2.0,4.0,3.0,Have certificate,,4.35
Hanoi,33.0,3.3,3.5,4.0,4.0,4.0,Have certificate,,5.4
Others,68.0,4.0,13.0,,,,Sale contract,,8.5
Hanoi,40.0,4.25,3.0,5.0,4.0,4.0,Have certificate,Full,6.3
Ho Chi Minh City,72.0,,10.0,3.0,4.0,4.0,Have certificate,,8.35
Ho Chi Minh City,40.0,,6.0,1.0,2.0,2.0,Have certificate,Full,2.35
Ho Chi Minh City,20.0,,,3.0,2.0,2.0,Have certificate,Full,2.8
Hanoi,91.0,5.0,,,,,Sale contract,,3.5
Hanoi,45.0,4.0,5.0,5.0,,,,,4.5
Ho Chi Minh City,52.0,4.5,8.0,4.0,4.0,3.0,Have certificate,Basic,7.2
Hanoi,34.0,,,4.0,3.0,4.0,Have certificate,Full,2.95
Others,112.5,5.0,7.5,3.0,5.0,3.0,Have certificate,Full,4.9
Others,225.0,12.0,,2.0,4.0,3.0,Sale contract,,9.0
Hanoi,34.0,4.25,3.0,3.0,3.0,3.0,Have certificate,Basic,2.1
Ho Chi Minh City,98.4,,12.0,1.0,3.0,2.0,Have certificate,Full,1.19
Hanoi,20.0,3.6,15.0,4.0,3.0,,Have certificate,Basic,3.6
Ho Chi Minh City,26.4,4.0,,3.0,2.0,1.0,,,3.85
Others,75.0,5.0,7.5,4.0,,,Have certificate,,4.35
Ho Chi Minh City,60.0,5.0,9.0,3.0,4.0,5.0,Have certificate,,5.6
Ho Chi Minh City,51.0,4.2,12.0,2.0,3.0,4.0,Have certificate,Basic,6.0
Hanoi,35.0,,,3.0,,,Have certificate,,5.65
Hanoi,34.0,8.1,,5.0,4.0,4.0,Have certificate,,8.0
Hanoi,40.0,3.7,4.0,6.0,4.0,4.0,Have certificate,Basic,3.25
Hanoi,55.0,,,6.0,8.0,6.0,Have certificate,Full,7.6
Others,120.0,,,2.0,4.0,2.0,Have certificate,Basic,7.9
Others,56.0,,13.0,5.0,,,,,7.6
Others,60.0,6.0,5.0,3.0,3.0,2.0,Have certificate,Basic,2.95
Ho Chi Minh City,60.0,4.5,6.0,4.0,4.0,4.0,Have certificate,Basic,6.5
Hanoi,40.0,,,4.0,4.0,4.0,Have certificate,Basic,2.5
Others,100.0,,20.0,3.0,4.0,3.0,Have certificate,Full,5.5
Hanoi,30.0,3.4,4.0,5.0,3.0,4.0,Have certificate,Full,4.1
Ho Chi Minh City,11.0,3.0,,3.0,2.0,2.0,Have certificate,Full,1.85
Ho Chi Minh City,110.0,4.4,7.0,2.0,2.0,2.0,Have certificate,,5.0
Others,135.0,,,3.0,,,,,7.55
Ho Chi Minh City,54.0,,5.0,4.0,4.0,4.0,,,5.7
Hanoi,40.0,,,4.0,4.0,4.0,Have certificate,Basic,1.95
Ho Chi Minh City,58.3,,12.0,3.0,4.0,5.0,Have certificate,Full,5.5
Ho Chi Minh City,53.0,3.6,5.0,4.0,3.0,4.0,Have certificate,Basic,6.5
Hanoi,27.0,4.6,,6.0,,,,,7.5
Ho Chi Minh City,30.0,,8.0,2.0,2.0,2.0,,,3.75
Ho Chi Minh City,101.0,9.0,,1.0,,,,,4.8
Ho Chi Minh City,20.0,,,2.0,2.0,2.0,Have certificate,Full,3.45
Ho Chi Minh City,72.0,,,5.0,4.0,4.0,Have certificate,,9.5
Others,100.0,5.0,,,,,Have certificate,,3.3
Others,160.0,8.0,13.0,2.0,4.0,4.0,Sale contract,,4.55
Others,62.0,,22.0,2.0,3.0,3.0,Have certificate,Basic,2.8
Others,65.0,6.0,4.0,1.0,2.0,1.0,Have certificate,Basic,1.65
Ho Chi Minh City,48.0,,4.0,4.0,3.0,4.0,Have certificate,Full,6.2
Hanoi,30.6,3.0,,,,,Have certificate,Full,6.5
Hanoi,45.0,4.3,5.0,3.0,3.0,3.0,Have certificate,Full,2.65
Ho Chi Minh City,40.0,,4.0,4.0,4.0,3.0,Have certificate,Full,5.6
Hanoi,24.3,2.38,,,,,Have certificate,,7.2
Ho Chi Minh City,65.0,,,3.0,4.0,4.0,Have certificate,,10.0
Others,84.0,4.3,8.0,2.0,3.0,2.0,Have certificate,Full,2.45
Others,135.0,9.0,12.0,3.0,,,,,7.55
Hanoi,31.0,3.6,3.0,5.0,4.0,3.0,Have certificate,Basic,4.55
Hanoi,38.1,8.0,,,,,Have certificate,,5.5
Ho Chi Minh City,60.0,6.0,3.5,4.0,4.0,4.0,Have certificate,Basic,8.0
Hanoi,35.0,,,5.0,,,Have certificate,,2.85
Ho Chi Minh City,177.0,6.1,,2.0,3.0,4.0,Have certificate,Basic,5.46
Others,100.0,6.0,,2.0,2.0,1.0,Have certificate,Full,2.7
Hanoi,45.0,,,5.0,4.0,,,Full,4.45
Ho Chi Minh City,84.0,7.0,10.0,3.0,8.0,6.0,Have certificate,,6.5
Ho Chi Minh City,80.0,,6.0,3.0,5.0,5.0,Have certificate,Basic,6.9
Ho Chi Minh City,52.0,,,,1.0,1.0,Sale contract,,7.0
Ho Chi Minh City,70.0,,,4.0,5.0,,Have certificate,,7.5
Ho Chi Minh City,58.0,,,3.0,3.0,3.0,Have certificate,Full,6.39
Hanoi,67.0,,3.0,3.0,3.0,3.0,Have certificate,Full,4.5
Hanoi,60.0,,,4.0,4.0,,Have certificate,Basic,4.5
Others,64.0,,,,,,,,8.3
Others,90.0,,,,,,,,3.3
Ho Chi Minh City,52.0,,,3.0,4.0,,,,5.3
Hanoi,38.0,,3.0,4.0,5.0,4.0,,Full,4.35
Hanoi,41.0,,,4.0,5.0,3.0,Have certificate,,3.6
Others,124.0,,,,4.0,2.0,,,6.3
Others,92.5,6.0,6.0,3.0,3.0,4.0,Have certificate,,6.95
Ho Chi Minh City,94.0,5.7,4.0,,,,Have certificate,,4.8
Ho Chi Minh City,45.5,3.7,,3.0,3.0,3.0,,Full,3.25
Hanoi,35.0,4.0,5.0,4.0,4.0,3.0,Have certificate,Basic,6.5
Hanoi,35.0,,,4.0,3.0,3.0,Have certificate,Basic,2.5
Others,85.0,6.08,4.0,2.0,3.0,2.0,Have certificate,Basic,2.55
Others,60.0,4.0,13.0,5.0,5.0,5.0,Have certificate,Full,8.6
Ho Chi Minh City,71.0,,4.0,2.0,2.0,2.0,Have certificate,Basic,4.9
Hanoi,43.0,3.6,4.0,4.0,2.0,3.0,Have certificate,Basic,8.65
Hanoi,39.0,4.6,,4.0,3.0,,Have certificate,,10.0
Ho Chi Minh City,64.0,5.0,10.0,4.0,4.0,5.0,Have certificate,,8.0
Others,100.0,,6.0,,,,Have certificate,,1.7
Ho Chi Minh City,88.6,,,3.0,3.0,4.0,Have certificate,,9.5
Hanoi,24.0,4.0,3.0,4.0,2.0,3.0,Have certificate,Full,4.28
Hanoi,40.0,4.0,,,,,Have certificate,Basic,7.0
Hanoi,52.0,5.0,,4.0,3.0,,,,4.2
Others,92.0,5.0,6.0,3.0,4.0,4.0,Have certificate,,6.95
Ho Chi Minh City,90.0,6.0,30.0,3.0,4.0,4.0,Have certificate,,5.95
Ho Chi Minh City,102.6,7.0,3.0,1.0,2.0,2.0,Have certificate,Full,5.6
Others,150.0,7.5,5.5,3.0,4.0,4.0,Have certificate,Full,5.0
Ho Chi Minh City,62.0,4.3,,5.0,5.0,,Have certificate,Full,8.9
Others,180.0,,,,,,Have certificate,,10.0
Others,198.5,9.0,10.0,2.0,4.0,3.0,Have certificate,Full,8.0
Others,150.0,10.0,,5.0,,,Have certificate,,10.0
Hanoi,31.0,,,3.0,3.0,3.0,Have certificate,Full,2.48
Ho Chi Minh City,60.0,4.0,8.0,3.0,4.0,5.0,Have certificate,,7.45
Hanoi,56.0,6.0,,4.0,4.0,4.0,Have certificate,Full,7.15
Ho Chi Minh City,54.0,4.85,2.0,2.0,3.0,2.0,Have certificate,Basic,7.5
Hanoi,30.0,3.25,,5.0,3.0,4.0,Have certificate,,4.25
Others,78.5,,,4.0,,,,,4.9
Others,75.0,5.0,12.0,3.0,4.0,4.0,Have certificate,,4.25
Others,108.0,,,,,,Have certificate,,7.7
Ho Chi Minh City,59.0,5.0,5.0,3.0,9.0,9.0,Have certificate,Basic,6.0
Ho Chi Minh City,100.0,,,,,,Have certificate,Full,7.0
Others,400.0,,,2.0,2.0,,,Full,8.0
Ho Chi Minh City,58.0,4.0,4.0,,5.0,5.0,Have certificate,Full,6.2
Hanoi,32.0,,,5.0,3.0,,Have certificate,Full,5.5
Hanoi,30.0,3.8,2.0,5.0,3.0,3.0,Have certificate,,4.6
Ho Chi Minh City,40.0,,,1.0,2.0,2.0,Have certificate,,1.3
Hanoi,37.0,,,5.0,3.0,4.0,Have certificate,Full,7.3
Others,75.0,6.0,,5.0,,,Sale contract,,10.0
Others,60.0,4.0,13.0,5.0,7.0,4.0,Have certificate,Basic,8.6
Others,100.0,36.0,36.0,3.0,4.0,2.0,Have certificate,,5.0
Ho Chi Minh City,127.0,4.5,,2.0,3.0,2.0,Have certificate,Full,8.45
Ho Chi Minh City,48.0,4.0,,3.0,4.0,3.0,Have certificate,Full,5.0
Others,90.8,6.0,16.0,4.0,5.0,6.0,Have certificate,Full,8.5
Hanoi,39.0,4.5,50.0,6.0,3.0,4.0,Have certificate,Basic,7.5
Ho Chi Minh City,54.0,,,2.0,,,,,4.1
Hanoi,40.0,3.4,,4.0,4.0,5.0,,,8.15
Ho Chi Minh City,35.0,3.6,4.0,3.0,3.0,2.0,Have certificate,Full,3.75
Others,80.0,4.0,3.5,2.0,2.0,,Have certificate,,2.5
Ho Chi Minh City,98.7,6.0,3.0,2.0,7.0,4.0,Have certificate,Basic,5.2
Hanoi,70.0,5.0,11.5,4.0,,,,,5.6
Others,75.0,5.0,30.0,2.0,3.0,2.0,Have certificate,Full,1.68
Others,105.0,6.0,13.0,,,,Have certificate,,9.8
Ho Chi Minh City,54.0,3.8,4.0,2.0,2.0,2.0,Have certificate,Full,5.65
Hanoi,36.0,4.0,5.0,3.0,3.0,3.0,Have certificate,Full,3.0
Ho Chi Minh City,70.0,5.0,,5.0,7.0,8.0,Have certificate,,6.9
Others,60.0,,,3.0,4.0,4.0,,,3.7
Hanoi,32.0,,12.0,5.0,5.0,5.0,Have certificate,Basic,9.5
Ho Chi Minh City,60.0,4.0,5.0,3.0,4.0,3.0,Have certificate,Full,5.2
Hanoi,33.0,3.3,2.0,5.0,3.0,3.0,Have certificate,Full,7.5
Ho Chi Minh City,49.5,4.5,4.3,3.0,2.0,2.0,Have certificate,Full,4.15
Hanoi,33.0,4.5,2.5,5.0,3.0,4.0,Have certificate,,3.65
Others,105.0,7.0,15.0,4.0,6.0,4.0,Have certificate,Basic,6.7
Others,60.0,5.0,7.5,4.0,,,Have certificate,,3.16
Others,83.0,5.0,20.5,4.0,,,Have certificate,,6.0
Ho Chi Minh City,151.0,,,2.0,2.0,3.0,Have certificate,Basic,5.7
Ho Chi Minh City,68.0,4.5,,3.0,4.0,4.0,Have certificate,,6.7
Hanoi,41.5,6.0,,5.0,,,,,4.9
Others,56.0,4.0,13.0,5.0,7.0,4.0,,Basic,7.5
Ho Chi Minh City,66.0,6.0,8.0,,5.0,4.0,Have certificate,Full,9.9
Ho Chi Minh City,36.0,4.0,,3.0,4.0,3.0,Have certificate,,3.5
Hanoi,40.0,,,4.0,4.0,,Have certificate,Basic,8.5
Others,120.0,,26.0,3.0,,,Have certificate,,7.54
Hanoi,45.0,,3.0,4.0,5.0,4.0,Have certificate,Basic,6.0
Others,360.0,,,1.0,2.0,2.0,Sale contract,Basic,8.9
Others,123.0,11.0,60.0,3.0,,,,,5.7
Hanoi,40.0,4.4,,4.0,3.0,3.0,Have certificate,Basic,9.9
Others,78.0,6.0,13.0,5.0,9.0,8.0,Sale contract,,9.45
Others,78.0,6.0,13.0,5.0,8.0,4.0,,,9.29
Others,129.5,,,2.0,,,,,5.1
Hanoi,33.0,4.0,4.0,5.0,4.0,4.0,Have certificate,Full,5.0
Ho Chi Minh City,75.0,5.0,8.0,2.0,3.0,2.0,Have certificate,Full,2.25
Hanoi,34.0,5.0,2.0,5.0,3.0,4.0,Have certificate,,5.95
Hanoi,45.0,3.5,7.0,4.0,5.0,4.0,,Full,4.5
Ho Chi Minh City,28.0,3.5,7.0,,,,Have certificate,,2.68
Hanoi,37.0,,,3.0,2.0,,Have certificate,,5.5
Ho Chi Minh City,38.0,,,5.0,4.0,5.0,,,9.1
Ho Chi Minh City,54.0,,5.0,4.0,4.0,5.0,Have certificate,,6.2
Hanoi,35.0,3.5,,5.0,,,Have certificate,,5.1
